ID	CHARACTER_ID	GROUP	CHARACTER	PINYIN	DOCULECT	RADICAL	PHONETIC	FANQIE	RHYME	CHAPTER	IMAGE
1408	w0380390	1255	齸	yì	Old_Chinese	齒	益	伊昔	六	v04	080b-03
1409	w0380400	1256	𪗻	𪗻	Old_Chinese	齒	至	陟栗	二	v04	080b-04
1410	w0380410	1257	䶤	䶤	Old_Chinese			戶八	五	v04	080b-05
1411	w0380420	1258	𪗽	𪗽	Old_Chinese	齒	𠯑	古活	五	v04	080b-06
1412	w0380430	1259	𪙍	𪙍	Old_Chinese	齒	尃	補莫	五	v04	080b-07
1413	w0390010	1260	牙	yá	Old_Chinese			五加	五	v04	080b-08
1414	w0390011	1260	𤘈	𤘈	Old_Chinese					v04	080b-09
1415	w0390020	1261	𤘌	𤘌	Old_Chinese			去奇	七	v04	080b-10
1416	w0390030	1262	𤘐	𤘐	Old_Chinese	牙	禹	邱禹	五	v04	081a-01
1417	w0390031	1262	齲	qǔ	Old_Chinese					v04	081a-02
1418	w0400010	1263	足	zú	Old_Chinese				三	v04	081a-03
1419	w0400020	1264	蹏	tí	Old_Chinese	足	虒	杜兮	六	v04	081a-04
1420	w0400030	1265	跟	gēn	Old_Chinese	足	𥃩	古痕	三	v04	081a-05
1421	w0400031	1265	𣥦	𣥦	Old_Chinese					v04	081a-06
1422	w0400040	1266	踝	huái	Old_Chinese	足	果	胡瓦	七	v04	081a-07
1423	w0400050	1267	跖	zhí	Old_Chinese	足	石	之石	五	v04	081a-08
1424	w0400060	1268	踦	yǐ	Old_Chinese	足	奇	去奇	七	v04	081a-09
1425	w0400070	1269	跪	guì	Old_Chinese			去委	六	v04	081a-10
1426	w0400080	1270	跽	jì	Old_Chinese	足	忌	渠几	一	v04	081a-11
1427	w0400090	1271	踧	cù	Old_Chinese	足	叔	子六	三	v04	081b-01
1428	w0400100	1272	躣	qú	Old_Chinese	足	瞿	其俱	五	v04	081b-02
1429	w0400110	1273	踖	jí	Old_Chinese	足	昔	資昔	五	v04	081b-03
