ID	DOCULECT	CONCEPT	VALUE	SEGMENTS	STRUCTURE	BENZI	CHARACTERS	COGNATE_SET	COGNATE_SETS
661	Suzhou	Mid-autumn Festival	ʦoŋ⁵⁵ʦʰʏ⁵⁵ʦiəʔ⁵	ts o ŋ ⁵⁵ + tsʰ ʏ ⁵⁵ + ts i ə ʔ ⁵	i n c t + i n t + i m n c t	中秋节	中秋节	151	0
662	Hangzhou	Mid-autumn Festival	pɑʔ⁵ɦyəʔ²⁻⁵puõ⁴⁴⁵⁻³³	p ɑ ʔ ⁵ + ɦ y ə ʔ ²/⁵ + p u õ ∼ ⁴⁴⁵/³³	i n c t + i m n c t + i m n c t	八月半	八月半	152	0
663	Wenzhou	Mid-autumn Festival	po²¹³⁻²¹ȵy²¹³⁻²¹zai²¹³⁻²¹ŋ̍	p o ²¹³/²¹ + ɲ y ²¹³/²¹ + z a i ²¹³/²¹ + ŋ ŋ̍ ∼ ⁰	i n t + i n t + i n N t + i n c t	八月十五	八月十五	153	0
664	Wenzhou	Mid-autumn Festival	ʨoŋ³³⁻²¹ʨʰɤu³³⁻³⁵ʨi²¹³⁻¹³	tɕ o ŋ ³³/²¹ + tɕʰ ɤ u ³³/³⁵ + tɕ i ²¹³/¹³	i n c t + i n N t + i n t	中秋节	中秋节	151	0
665	Guangzhou	Mid-autumn Festival	ʦoŋ⁵⁵ʦʰɐu⁵⁵	ts o ŋ ⁵⁵ + tsʰ ɐ u ⁵⁵	i n c t + i n N t	中秋	中秋	150	0
666	Guangzhou	Mid-autumn Festival	pat³jyt²sɐp²m̩²³	p a t ³ + j y t ² + s ɐ p ² + m m̩ ∼ ²³	i n c t + i n c t + i n c t + i n c t	八月十五	八月十五	153	0
667	Nanning	Mid-autumn Festival	pɛt³³yt²²sɐp²²m̩²⁴	p ɛ t ³³ + y t ²² + s ɐ p ²² + m m̩ ∼ ²⁴	i n c t + n c t + i n c t + i n c t	八月十五	八月十五	153	0
668	Xianggang	Mid-autumn Festival	ʦuŋ⁵⁵ʦʰɐu⁵⁵	ts u ŋ ⁵⁵ + tsʰ ɐ u ⁵⁵	i n c t + i n N t	中秋	中秋	150	0
669	Xianggang	Mid-autumn Festival	pat³jyt²sɐp²m̩¹³	p a t ³ + j y t ² + s ɐ p ² + m m̩ ∼ ¹³	i n c t + i n c t + i n c t + i n c t	八月十五	八月十五	153	0
670	Xiamen	Mid-autumn Festival	tiɔŋ⁵⁵⁻²²ʦʰiu⁵⁵⁻²²ʦiat³²	t i ɔ ŋ ⁵⁵/²² + tsʰ i u ⁵⁵/²² + ts i a t ³²	i m n c t + i m n t + i m n c t	中秋节	中秋节	151	0
671	Xiamen	Mid-autumn Festival	tiɔŋ⁵⁵⁻²²ʦʰiu⁵⁵⁻²²ʦueʔ³²	t i ɔ ŋ ⁵⁵/²² + tsʰ i u ⁵⁵/²² + ts u e ʔ ³²	i m n c t + i m n t + i m n c t	中秋节	中秋节	151	0
672	Xiamen	Mid-autumn Festival	tiɔŋ⁵⁵⁻²²ʦʰiu⁵⁵⁻²²	t i ɔ ŋ ⁵⁵/²² + tsʰ i u ⁵⁵/²²	i m n c t + i m n t	中秋	中秋	150	0
673	Xiamen	Mid-autumn Festival	pueʔ³²⁻⁵³geʔ⁵⁻²¹ʦueʔ³²	p u e ʔ ³²/⁵³ + g e ʔ ⁵/²¹ + ts u e ʔ ³²	i m n c t + i n c t + i m n c t	八月节	八月节	154	0
674	Fuzhou	Mid-autumn Festival	tyŋ⁴⁴ʒieu⁴⁴	t y ŋ ⁴⁴ + ʒ i e u ⁴⁴	i n c t + i m n N t	中秋	中秋	150	0
