ID	DOCULECT	DOCULECT_IN_SOURCE	CONCEPT	CONCEPTICON_ID	STEDT_ID	VALUE	SEGMENTS	SOURCE
225571	Bijiang	Bai (Bijiang)	stinky		225571	xɑ̃⁵⁵ʈhv⁴²	x ɑ̃ ∼ ⁵⁵ ʈh v ⁴² 	Sun1991
212514	Dali	Bai (Dali)	stir / churn		212514	tɕɑo³¹	tɕ ɑ o ³¹ 	Sun1991
212515	Bijiang	Bai (Bijiang)	stir / churn		212515	so⁵⁵be⁴⁴	s o ⁵⁵ b e ⁴⁴ 	Sun1991
212540	Jianchuan	Bai (Jianchuan)	stir / churn		212540	pɑ³¹	p ɑ ³¹ 	Sun1991
212055	Dali	Bai (Dali)	stir-fry		212055	tshu³³	tsh u ³³ 	Sun1991
212056	Bijiang	Bai (Bijiang)	stir-fry		212056	ŋo²¹	ŋ o ²¹ 	Sun1991
212081	Jianchuan	Bai (Jianchuan)	stir-fry		212081	tshu³³	tsh u ³³ 	Sun1991
193721	Jianchuan	Bai (Jianchuan)	stomach		193721	v⁴²	v ⁴² 	Sun1991
193696	Bijiang	Bai (Bijiang)	stomach		193696	ʐeʴ⁴²ŋɑ⁵⁵dzɑ⁴²tshu⁴²	ʐ eʴ ⁴² ŋ ɑ ⁵⁵ dz ɑ ⁴² tsh u ⁴² 	Sun1991
193695	Dali	Bai (Dali)	stomach		193695	v⁴²	v ⁴² 	Sun1991
191553	Dali	Bai (Dali)	stone / pit		191553	uɑ⁴²	u ɑ ⁴² 	Sun1991
191579	Jianchuan	Bai (Jianchuan)	stone / pit		191579	uɑ⁴²	u ɑ ⁴² 	Sun1991
191554	Bijiang	Bai (Bijiang)	stone / pit		191554	po⁵⁵uɑ⁴²	p o ⁵⁵ u ɑ ⁴² 	Sun1991
182119	Bijiang	Bai (Bijiang)	stone / rock		182119	tũ⁴²	t ũ ∼ ⁴² 	Sun1991
182144	Jianchuan	Bai (Jianchuan)	stone / rock		182144	tso⁴²khui⁵⁵	ts o ⁴² kh u i ⁵⁵ 	Sun1991
182118	Dali	Bai (Dali)	stone / rock		182118	tso⁵³khui⁵⁵	ts o ⁵³ kh u i ⁵⁵ 	Sun1991
203130	Dali	Bai (Dali)	stool		203130	pɑ⁴²tɯ⁵⁵	p ɑ ⁴² t ɯ ⁵⁵ 	Sun1991
203131	Bijiang	Bai (Bijiang)	stool		203131	pɑ⁴²tɯ̃⁵⁵	p ɑ ⁴² t ɯ̃ ∼ ⁵⁵ 	Sun1991
203156	Jianchuan	Bai (Jianchuan)	stool		203156	pɑ⁴²tɯ⁵⁵	p ɑ ⁴² t ɯ ⁵⁵ 	Sun1991
