ID	CHARACTER	SIMPLIFIED_CHARACTER	PINYIN	DOCULECT	DOCULECT_IN_SOURCE	READING	SEGMENTS	CONTEXT	CONCEPT	COGNATE_CLASS
7711	正	正	zhēng	Old_Chinese	OC	*C.teŋ	/C t e ŋ	P i n c	1st (month)	3857
5260	朔	朔	shuò	Middle_Chinese	MC	sræwk	ʂ æ kʷ /⁴	i n c t	1st day of month	2632
5261	朔	朔	shuò	Old_Chinese	OC	*s.ŋrak	s ŋ r a k	P i m n c	1st day of month	2632
8082	子	子	zǐ	Middle_Chinese	MC	tsiX	ts i /²	i n t	1st earthly branch	4043
8083	子	子	zǐ	Old_Chinese	OC	*tsəʔ {*[ts]əʔ}	ts ə ʔ	i n C	1st earthly branch	4043
2561	甲	甲	jiǎ	Middle_Chinese	MC	kæp	k æ p /¹	i n c t	1st heavenly stem; shell	1281
2562	甲	甲	jiǎ	Old_Chinese	OC	*kˁrap {*[k]ˁr[a]p}	kˤ r a p	i m n c	1st heavenly stem; shell	1281
689	丑	丑	chǒu	Middle_Chinese	MC	trhjuwX	ʈʰ j u w /²	i m n c t	2d earthly branch	345
690	丑	丑	chǒu	Old_Chinese	OC	*n̥ruʔ {*[n̥]ruʔ}	n̥ r u ʔ	i i n C	2d earthly branch	345
6834	乙	乙	yǐ	Middle_Chinese	MC	ʔit	ʔ i t /⁴	i n c t	2nd heavenly stem	3419
6835	乙	乙	yǐ	Old_Chinese	OC	*qrət	q r ə t	i m n c	2nd heavenly stem	3419
309	丙	丙	bǐng	Middle_Chinese	MC	pjængX	p j æ ŋ /²	i m n c t	3d heavenly stem	155
310	丙	丙	bǐng	Old_Chinese	OC	*praŋʔ	p r a ŋ ʔ	i m n c C	3d heavenly stem	155
6986	寅	寅	yín	Middle_Chinese	MC	yij	j i j /¹	i n c t	3rd earthly branch	3495
6987	寅	寅	yín	Old_Chinese	OC	*ɢər {*[ɢ](r)ər}	ɢ ə r	i n c	3rd earthly branch	3495
6992	寅	寅	yín	Middle_Chinese	MC	yin	j i n /¹	i n c t	3rd earthly branch	3498
6993	寅	寅	yín	Old_Chinese	OC	*ɢər {*[ɢ](r)ər}	ɢ ə r	i n c	3rd earthly branch	3498
5164	叔	叔	shū	Middle_Chinese	MC	syuwk	ɕ u kʷ /⁴	i n c t	3rd of 4 brothers	2584
5165	叔	叔	shū	Old_Chinese	OC	*s-tiwk	s t i kʷ	p i n c	3rd of 4 brothers	2584
3728	卯	卯	mǎo	Middle_Chinese	MC	mæwX	m æ w /²	i n c t	4th earthly branch	1865
3729	卯	卯	mǎo	Old_Chinese	OC	*mˁruʔ	mˤ r u ʔ	i m n C	4th earthly branch	1865
1113	丁	丁	dīng	Middle_Chinese	MC	teng	t e ŋ /¹	i n c t	4th heavenly stem	557
1114	丁	丁	dīng	Old_Chinese	OC	*tˁeŋ	tˤ e ŋ	i n c	4th heavenly stem	557
975	黨	党	dǎng	Middle_Chinese	MC	tangX	t a ŋ /²	i n c t	500 families; relatives	488
976	黨	党	dǎng	Old_Chinese	OC	*tˁaŋʔ	tˤ a ŋ ʔ	i n c C	500 families; relatives	488
553	辰	辰	chén	Middle_Chinese	MC	dzyin	dʑ i n /¹	i n c t	5th earthly branch	277
554	辰	辰	chén	Old_Chinese	OC	*dər {*[d]ər}	d ə r	i n c	5th earthly branch	277
5924	戊	戊	wù	Middle_Chinese	MC	muwH	m u w /³	i n c t	5th heavenly stem	2964
5925	戊	戊	wù	Old_Chinese	OC	*muʔ-s {*m(r)uʔ-s} ~ *m(r)uʔ	m u ʔ s	i n C S	5th heavenly stem	2964
5300	巳	巳	sì	Middle_Chinese	MC	ziX	z i /²	i n t	6th earthly branch	2652
5301	巳	巳	sì	Old_Chinese	OC	*s-ɢəʔ {*s-[ɢ]əʔ}	s ɢ ə ʔ	p i n C	6th earthly branch	2652
2463	己	己	jǐ	Middle_Chinese	MC	kiX	k i /²	i n t	6th heavenly stem	1232
2464	己	己	jǐ	Old_Chinese	OC	*kəʔ {*k(r)əʔ}	k ə ʔ	i n C	6th heavenly stem	1232
5910	午	午	wǔ	Middle_Chinese	MC	nguX	ŋ u /²	i n t	7th heavenly branch	2957
5911	午	午	wǔ	Old_Chinese	OC	*m.qʰˁaʔ {*[m].qʰˁaʔ}	m qʰˤ a ʔ	P i n c	7th heavenly branch	2957
1717	庚	庚	gēng	Middle_Chinese	MC	kæng	k æ ŋ /¹	i n c t	7th heavenly stem	859
1718	庚	庚	gēng	Old_Chinese	OC	*kˁraŋ	kˤ r a ŋ	i m n c	7th heavenly stem	859
5842	未	未	wèi	Middle_Chinese	MC	mjɨjH	m j ɨ j /³	i m n c t	8th earthly branch	2923
5843	未	未	wèi	Old_Chinese	OC	*mət-s {*m[ə]t-s}	m ə t s	i n c S	8th earthly branch	2923
6310	辛	辛	xīn	Middle_Chinese	MC	sin	s i n /¹	i n c t	8th heavenly stem	3157
6311	辛	辛	xīn	Old_Chinese	OC	*sin {*si[n]}	s i n	i n c	8th heavenly stem	3157
