ID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
761	chipped		
762	roll (e.g. rock)	827	ROLL
763	rotate / spin		
764	drop / fall	750	DROP
765	break (v.i. of rope, etc.)	460	BREAK (OF ROPE)
766	break	680	BREAK (DESTROY OR GET DESTROYED)
767	soak / immerse(e.g. seed)	2069	SOAK (VERB)
768	ladle / dredge		
769	leak		
770	drip	808	DRIP (FALL IN GLOBULES)
771	boil	793	BOIL (OF SKIN)
772	melt	2334	MELT
773	change / transform	1264	CHANGE
774	birth, give	1195	GIVE BIRTH
775	grow	479	GROW
776	ill / sick	1847	SICK
777	tremble		
778	swollen		
779	drunk	1463	DRUNK
780	die	1494	DIE
781	alive	1422	BE ALIVE
782	fly	1504	FLY (INSECT)
783	bark	1204	BARK
784	crow	2074	CROW (VERB)
785	lay (egg)		
786	hatch		
787	sting	571	STING
788	bud		
789	bloom		
790	bear fruit		
791	wither		
792	rot / spoil	92	SPOIL (SOMEBODY OR SOMETHING)
793	begin	1806	BEGIN
794	manage		
795	hold a meeting	335	MEETING HOUSE
796	protect		
797	win / triumph		
798	lose		
799	oppose		
800	big	1202	BIG
801	small	1246	SMALL
802	high / tall	1265	HIGH
803	low	721	LOW
804	deep	1593	DEEP
805	shallow	193	SHALLOW
806	pointed	372	POINTED
807	round	1395	ROUND
808	square	850	SQUARE
809	long	1203	LONG
810	short	1645	SHORT
811	thick	1244	THICK
812	thin (slender)	1400	THIN (SLIM)
813	thick		
814	thin	2249	THIN (OF SHAPE OF OBJECT)
815	wide	1243	WIDE
816	narrow	1267	NARROW
817	far	1406	FAR
818	near	1942	NEAR
819	many / much	428	BE MANY
820	little / few	1242	FEW
821	straight	1404	STRAIGHT
822	crooked	297	CROOKED
823	horizontal	2376	HORIZONTAL
824	upright		
825	flat / level(land)	1633	FLAT
826	steep		
827	right, just, upright	84	JUST
828	slanting, not upright		
829	light	630	LIGHT (RADIATION)
830	heavy	1210	HEAVY
831	hard	1884	HARD
832	soft	1856	SOFT
833	bright	679	BRIGHT
834	dark	706	DARK
835	sunny	2340	SUNNY
836	cloudy	2341	CLOUDY
837	red	156	RED
838	yellow	1424	YELLOW
839	blue	837	BLUE
840	white	1335	WHITE
841	black	163	BLACK
842	green	1425	GREEN
843	multicolored		
844	thick		
845	thin (watery)	2305	THIN (OF HAIR AND THREAD)
846	full	1429	FULL
847	beautiful	1427	BEAUTIFUL
848	ugly	1548	UGLY
849	fat (of people)	323	FAT (ORGANIC SUBSTANCE)
850	fat (meat)	1279	FAT (OBESE)
851	lean (meat)		
852	thin (of people)	2306	THIN (OF LEAF AND CLOTH)
853	clean	704	CLEAN
854	dirty	1230	DIRTY
855	clear (water)	989	CLEAR
856	turbid / muddy	537	TURBID
857	old (of people)	565	OLD (OF MAN)
858	young	563	YOUNG (OF WOMAN)
859	tender		
860	good	1035	GOOD
861	bad	1292	BAD
862	fast	1631	FAST
863	slow	701	SLOW
864	dry	1398	DRY
865	wet	1726	WET
866	new	1231	NEW
867	old (things)	566	OLD (OF WOMAN)
868	raw	1959	RAW
869	cooked	269	COOKED
870	sharp	1396	SHARP
871	blunt	379	BLUNT
872	early	672	EARLY
873	late	425	BE LATE
874	true	1657	TRUE
875	false		
876	expensive	1426	EXPENSIVE
877	cheap	1887	CHEAP
878	easy	686	EASY
