ID	TAXA	TAXA_WITH_TONES	CHINESE_TAXA	GLOSS	PINYIN	NUMBER	READING	IPA	TOKENS	ALIGNMENT	PROTO	PROTO_TOKENS	BAXTER	ZGYY	COGID
97	Guangzhou	Guǎngzhōu	广州	伐	fá	4	fɐt²	fɐt²	f ɐ t ²	f - ɐ t ²	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
98	Jianou	Jiànōu	建瓯	伐	fá	4	xua²⁴	xua²⁴	x u a ²⁴	x u a - ²⁴	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
99	Chengdu	Chéngdū	成都	伐	fá	4	fa³¹	fa³¹	f a ³¹	f - a - ³¹	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
100	Kunming	Kūnmíng	昆明	伐	fá	4	fA³¹	fᴀ³¹	f ᴀ ³¹	f - ᴀ - ³¹	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
101	Hangzhou	Hángzhōu	杭州	伐	fá	4	vaɁ²	vaʔ²	v a ʔ ²	v - a ʔ ²	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
102	Taoyuan	Táoyuán	桃园	伐	fá	4	fɑt⁵⁵	fɑt⁵⁵	f ɑ t ⁵⁵	f - ɑ t ⁵⁵	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
103	Meixian	Méixiàn	梅县	伐	fá	4	fat⁵	fat⁵	f a t ⁵	f - a t ⁵	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
104	Shexian	Shèxiàn	歙县	伐	fá	4	fa²²	fa²²	f a ²²	f - a - ²²	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
105	Wuhan	Wǔhàn	武汉	伐	fá	4	fa²¹³	fa²¹³	f a ²¹³	f - a - ²¹³	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
106	Shantou	Shàntóu	汕头	伐	fá	4	huak⁵	huak⁵	h u a k ⁵	h u a k ⁵	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
107	Jinan	Jìnán	济南	伐	fá	4	fa⁴²	fa⁴²	f a ⁴²	f - a - ⁴²	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
108	Haikou	Hǎikǒu	海口	伐	fá	4	fak⁵	fak⁵	f a k ⁵	f - a k ⁵	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
109	Wenzhou	Wēnzhōu	温州	伐	fá	4	fio²¹³	fio²¹³	f i o ²¹³	f i o - ²¹³	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
110	Xiangtan	Xiāngtán	湘潭	伐	fá	4	ɸɒ²⁴	ɸɒ²⁴	ɸ ɒ ²⁴	ɸ - ɒ - ²⁴	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
111	Fuzhou	Fúzhōu	福州	伐	fá	4	p'uaɁ⁵	pʰuaʔ⁵	pʰ u a ʔ ⁵	pʰ u a ʔ ⁵	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
112	Suzhou	Sūzhōu	苏州	伐	fá	4	vaɁ³	vaʔ³	v a ʔ ³	v - a ʔ ³	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
113	Xining	Xīníng	西宁	伐	fá	4	fa²⁴	fa²⁴	f a ²⁴	f - a - ²⁴	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
114	Xian	Xīān	西安	伐	fá	4	fa²⁴	fa²⁴	f a ²⁴	f - a - ²⁴	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
115	Guiyang	Guìyáng	贵阳	伐	fá	4	fa²¹	fa²¹	f a ²¹	f - a - ²¹	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
116	Zhengzhou	Zhèngzhōu	郑州	伐	fá	4	fa⁴²	fa⁴²	f a ⁴²	f - a - ⁴²	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
117	Yinchuan	Yínchuān	银川	伐	fá	4	fa¹³	fa¹³	f a ¹³	f - a - ¹³	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
118	Changsha	Chángshā	长沙	伐	fá	4	fa²⁴	fa²⁴	f a ²⁴	f - a - ²⁴	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
119	Qingdao	Qīngdǎo	青岛	伐	fá	4	fa⁴²	fa⁴²	f a ⁴²	f - a - ⁴²	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
120	Xianggang	Xiānggǎng	香港	伐	fá	4	fɐt²	fɐt²	f ɐ t ²	f - ɐ t ²	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
121	Shanghai	Shànghǎi	上海	法	fǎ	5	faɁ⁵	faʔ⁵	f a ʔ ⁵	f - a ʔ ⁵	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
122	Wulumuqi	Wūlǔmùqí	乌鲁木齐	法	fǎ	5	fa⁵¹	fa⁵¹	f a ⁵¹	f - a - ⁵¹	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
123	Lanzhou	Lánzhōu	兰州	法	fǎ	5	fa¹³	fa¹³	f a ¹³	f - a - ¹³	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
124	Beijing	Běijīng	北京	法	fǎ	5	fa²¹⁴fa⁵¹	fa²¹⁴	f a ²¹⁴	f - a - ²¹⁴	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
125	Nanjing	Nánjīng	南京	法	fǎ	5	fɑɁ⁵	fɑʔ⁵	f ɑ ʔ ⁵	f - ɑ ʔ ⁵	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
126	Nanning	Nánníng	南宁	法	fǎ	5	fat³³	fat³³	f a t ³³	f - a t ³³	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
127	Nanchang	Nánchāng	南昌	法	fǎ	5	faɁ⁵	faʔ⁵	f a ʔ ⁵	f - a ʔ ⁵	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
